
1,,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer
,3,28,10,9,33,12,11,21,4,4,17,3,3,23,8,6,15,6,5,26,10,9,24,13,12,24,6,4,17,12,8,30,18,13,35,13,11,40,2,2,20,3,3,21,8,8,23,7,5,15,12,1,19,5,4,18,10,5,21,6,4,16,7,5,22,8,7,24,8,7,16,11,9,22,14,10,27,17,4,13,3,1,15,6,0,15,4,0,25,16,13,15,7,6,11,11,7,16,5,5,12,5,4,16,7,5,24,9,9,22,7,4,23,5,5,15,7,3,18,6,5,837,331,236
,4,28,8,6,33,10,9,21,4,4,17,3,3,23,8,6,15,6,5,26,8,7,24,13,12,24,5,3,17,11,7,30,17,13,35,9,7,40,2,2,20,2,2,21,8,8,23,5,4,15,11,3,19,4,3,18,9,5,21,5,3,16,7,5,22,8,7,24,7,6,16,11,9,22,13,9,27,17,4,13,3,1,15,5,1,15,3,0,25,15,12,15,7,6,11,8,2,16,5,5,12,3,2,16,5,4,24,7,7,22,7,4,23,5,5,15,7,6,18,4,4,837,295,211
,5,28,8,6,33,10,9,21,4,4,17,2,2,23,8,6,15,6,5,26,8,7,24,12,10,24,5,3,17,11,7,30,16,12,35,8,6,40,2,2,20,2,2,21,8,8,23,5,4,15,11,3,19,4,3,18,9,5,21,5,3,16,6,5,22,8,7,24,7,6,16,11,9,22,13,9,27,17,4,13,3,1,15,5,1,15,3,0,25,15,12,15,7,6,11,8,2,16,5,5,12,3,2,16,5,4,24,7,7,22,7,4,23,5,5,15,7,6,18,4,4,837,290,206
,6,28,6,6,33,6,5,21,3,3,17,1,1,23,7,5,15,3,3,26,7,6,24,10,10,24,1,1,17,8,7,30,12,9,35,5,5,40,2,2,20,1,1,21,7,7,23,4,3,15,9,5,19,3,2,18,6,4,21,4,2,16,5,4,22,6,5,24,3,3,16,8,8,22,8,4,27,14,3,13,1,0,15,3,0,15,2,0,25,9,5,15,5,4,11,2,0,16,4,4,12,3,2,16,2,1,24,6,6,22,6,5,23,4,4,15,5,2,18,4,4,837,205,151
,7,28,6,6,33,6,5,21,3,3,17,1,1,23,7,5,15,2,2,26,7,6,24,9,5,24,0,0,17,8,7,30,10,8,35,4,4,40,2,2,20,1,1,21,7,7,23,4,3,15,8,3,19,3,2,18,4,3,21,3,1,16,5,4,22,4,3,24,3,3,16,8,8,22,7,3,27,12,3,13,1,0,15,2,0,15,2,0,25,9,5,15,4,4,11,2,0,16,2,2,12,2,2,16,2,1,24,5,5,22,5,4,23,4,4,15,5,2,18,3,3,837,182,130
,8,28,6,6,33,6,5,21,3,3,17,1,1,23,7,5,15,1,0,26,7,6,24,9,5,24,0,0,17,8,7,30,8,6,35,3,3,40,2,2,20,1,1,21,6,6,23,3,2,15,8,3,19,3,2,18,4,3,21,3,1,16,4,3,22,4,3,24,3,3,16,8,8,22,7,3,27,11,3,13,1,0,15,2,0,15,2,0,25,9,5,15,4,4,11,2,0,16,2,2,12,2,2,16,2,1,24,4,4,22,5,4,23,4,4,15,4,2,18,3,3,837,172,121
,9,28,5,5,33,6,5,21,3,3,17,1,1,23,7,5,15,1,0,26,7,6,24,7,3,24,0,0,17,7,6,30,8,6,35,3,3,40,2,2,20,1,1,21,6,6,23,3,2,15,8,3,19,3,2,18,4,3,21,3,1,16,4,3,22,4,3,24,3,2,16,7,7,22,7,3,27,11,3,13,1,0,15,2,0,15,2,0,25,9,5,15,4,4,11,2,0,16,2,2,12,2,2,16,2,1,24,4,4,22,5,4,23,4,4,15,4,2,18,3,3,837,167,115

2,,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer,Human,Machine,Answer
