
1,,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score
,3,0.9,0.32142857142857145,0.2368421052631579,0.9166666666666666,0.3333333333333333,0.2444444444444444,1.0,0.19047619047619047,0.16,1.0,0.17647058823529413,0.15,0.75,0.2608695652173913,0.19354838709677416,0.8333333333333334,0.3333333333333333,0.23809523809523808,0.9,0.34615384615384615,0.25,0.9230769230769231,0.5,0.32432432432432434,0.6666666666666666,0.16666666666666666,0.13333333333333333,0.6666666666666666,0.47058823529411764,0.27586206896551724,0.7222222222222222,0.43333333333333335,0.2708333333333333,0.8461538461538461,0.3142857142857143,0.22916666666666669,1.0,0.05,0.047619047619047616,1.0,0.15,0.13043478260869565,1.0,0.38095238095238093,0.27586206896551724,0.7142857142857143,0.21739130434782608,0.16666666666666666,0.08333333333333333,0.06666666666666667,0.037037037037037035,0.8,0.21052631578947367,0.16666666666666666,0.5,0.2777777777777778,0.17857142857142858,0.6666666666666666,0.19047619047619047,0.14814814814814814,0.7142857142857143,0.3125,0.21739130434782608,0.875,0.3181818181818182,0.23333333333333334,0.875,0.2916666666666667,0.21875000000000003,0.8181818181818182,0.5625,0.3333333333333333,0.7142857142857143,0.45454545454545453,0.2777777777777778,0.23529411764705882,0.14814814814814814,0.0909090909090909,0.3333333333333333,0.07692307692307693,0.0625,0.0,0.0,0,0.0,0.0,0,0.8125,0.52,0.3170731707317073,0.8571428571428571,0.4,0.27272727272727276,0.6363636363636364,0.6363636363636364,0.3181818181818182,1.0,0.3125,0.23809523809523808,0.8,0.3333333333333333,0.23529411764705882,0.7142857142857143,0.3125,0.21739130434782608,1.0,0.375,0.2727272727272727,0.5714285714285714,0.18181818181818182,0.13793103448275862,1.0,0.21739130434782608,0.17857142857142855,0.42857142857142855,0.2,0.13636363636363638,0.8333333333333334,0.2777777777777778,0.20833333333333334,0.7129909365558912,0.2819593787335723,0.20205479452054795
,4,0.75,0.21428571428571427,0.16666666666666666,0.9,0.2727272727272727,0.20930232558139533,1.0,0.19047619047619047,0.16,1.0,0.17647058823529413,0.15,0.75,0.2608695652173913,0.19354838709677416,0.8333333333333334,0.3333333333333333,0.23809523809523808,0.875,0.2692307692307692,0.2058823529411765,0.9230769230769231,0.5,0.32432432432432434,0.6,0.125,0.10344827586206896,0.6363636363636364,0.4117647058823529,0.25,0.7647058823529411,0.43333333333333335,0.2765957446808511,0.7777777777777778,0.2,0.1590909090909091,1.0,0.05,0.047619047619047616,1.0,0.1,0.09090909090909091,1.0,0.38095238095238093,0.27586206896551724,0.8,0.17391304347826086,0.14285714285714285,0.2727272727272727,0.2,0.11538461538461538,0.75,0.15789473684210525,0.13043478260869565,0.5555555555555556,0.2777777777777778,0.1851851851851852,0.6,0.14285714285714285,0.11538461538461536,0.7142857142857143,0.3125,0.21739130434782608,0.875,0.3181818181818182,0.23333333333333334,0.8571428571428571,0.25,0.19354838709677416,0.8181818181818182,0.5625,0.3333333333333333,0.6923076923076923,0.4090909090909091,0.2571428571428571,0.23529411764705882,0.14814814814814814,0.0909090909090909,0.3333333333333333,0.07692307692307693,0.0625,0.2,0.06666666666666667,0.05,0.0,0.0,0,0.8,0.48,0.3,0.8571428571428571,0.4,0.27272727272727276,0.25,0.18181818181818182,0.10526315789473685,1.0,0.3125,0.23809523809523808,0.6666666666666666,0.16666666666666666,0.13333333333333333,0.8,0.25,0.19047619047619047,1.0,0.2916666666666667,0.22580645161290322,0.5714285714285714,0.18181818181818182,0.13793103448275862,1.0,0.21739130434782608,0.17857142857142855,0.8571428571428571,0.4,0.27272727272727276,1.0,0.2222222222222222,0.1818181818181818,0.7152542372881356,0.2520908004778972,0.18639575971731448
,5,0.75,0.21428571428571427,0.16666666666666666,0.9,0.2727272727272727,0.20930232558139533,1.0,0.19047619047619047,0.16,1.0,0.11764705882352941,0.10526315789473684,0.75,0.2608695652173913,0.19354838709677416,0.8333333333333334,0.3333333333333333,0.23809523809523808,0.875,0.2692307692307692,0.2058823529411765,0.8333333333333334,0.4166666666666667,0.2777777777777778,0.6,0.125,0.10344827586206896,0.6363636363636364,0.4117647058823529,0.25,0.75,0.4,0.26086956521739135,0.75,0.17142857142857143,0.1395348837209302,1.0,0.05,0.047619047619047616,1.0,0.1,0.09090909090909091,1.0,0.38095238095238093,0.27586206896551724,0.8,0.17391304347826086,0.14285714285714285,0.2727272727272727,0.2,0.11538461538461538,0.75,0.15789473684210525,0.13043478260869565,0.5555555555555556,0.2777777777777778,0.1851851851851852,0.6,0.14285714285714285,0.11538461538461536,0.8333333333333334,0.3125,0.22727272727272727,0.875,0.3181818181818182,0.23333333333333334,0.8571428571428571,0.25,0.19354838709677416,0.8181818181818182,0.5625,0.3333333333333333,0.6923076923076923,0.4090909090909091,0.2571428571428571,0.23529411764705882,0.14814814814814814,0.0909090909090909,0.3333333333333333,0.07692307692307693,0.0625,0.2,0.06666666666666667,0.05,0.0,0.0,0,0.8,0.48,0.3,0.8571428571428571,0.4,0.27272727272727276,0.25,0.18181818181818182,0.10526315789473685,1.0,0.3125,0.23809523809523808,0.6666666666666666,0.16666666666666666,0.13333333333333333,0.8,0.25,0.19047619047619047,1.0,0.2916666666666667,0.22580645161290322,0.5714285714285714,0.18181818181818182,0.13793103448275862,1.0,0.21739130434782608,0.17857142857142855,0.8571428571428571,0.4,0.27272727272727276,1.0,0.2222222222222222,0.1818181818181818,0.7103448275862069,0.24611708482676226,0.18278615794143743
,6,1.0,0.21428571428571427,0.17647058823529413,0.8333333333333334,0.15151515151515152,0.12820512820512822,1.0,0.14285714285714285,0.125,1.0,0.058823529411764705,0.05555555555555555,0.7142857142857143,0.21739130434782608,0.16666666666666666,1.0,0.2,0.16666666666666669,0.8571428571428571,0.23076923076923078,0.18181818181818182,1.0,0.4166666666666667,0.29411764705882354,1.0,0.041666666666666664,0.039999999999999994,0.875,0.4117647058823529,0.28,0.75,0.3,0.21428571428571425,1.0,0.14285714285714285,0.125,1.0,0.05,0.047619047619047616,1.0,0.05,0.047619047619047616,1.0,0.3333333333333333,0.25,0.75,0.13043478260869565,0.11111111111111109,0.5555555555555556,0.3333333333333333,0.20833333333333334,0.6666666666666666,0.10526315789473684,0.09090909090909091,0.6666666666666666,0.2222222222222222,0.16666666666666666,0.5,0.09523809523809523,0.08,0.8,0.25,0.19047619047619047,0.8333333333333334,0.22727272727272727,0.17857142857142858,1.0,0.125,0.1111111111111111,1.0,0.5,0.3333333333333333,0.5,0.18181818181818182,0.13333333333333333,0.21428571428571427,0.1111111111111111,0.07317073170731708,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.5555555555555556,0.2,0.14705882352941177,0.8,0.26666666666666666,0.2,0.0,0.0,0,1.0,0.25,0.2,0.6666666666666666,0.16666666666666666,0.13333333333333333,0.5,0.0625,0.05555555555555555,1.0,0.25,0.2,0.8333333333333334,0.22727272727272727,0.17857142857142858,1.0,0.17391304347826086,0.14814814814814817,0.4,0.13333333333333333,0.1,1.0,0.2222222222222222,0.1818181818181818,0.7365853658536585,0.18040621266427717,0.14491362763915547
,7,1.0,0.21428571428571427,0.17647058823529413,0.8333333333333334,0.15151515151515152,0.12820512820512822,1.0,0.14285714285714285,0.125,1.0,0.058823529411764705,0.05555555555555555,0.7142857142857143,0.21739130434782608,0.16666666666666666,1.0,0.13333333333333333,0.11764705882352941,0.8571428571428571,0.23076923076923078,0.18181818181818182,0.5555555555555556,0.20833333333333334,0.15151515151515152,0,0.0,0,0.875,0.4117647058823529,0.28,0.8,0.26666666666666666,0.2,1.0,0.11428571428571428,0.10256410256410256,1.0,0.05,0.047619047619047616,1.0,0.05,0.047619047619047616,1.0,0.3333333333333333,0.25,0.75,0.13043478260869565,0.11111111111111109,0.375,0.2,0.13043478260869568,0.6666666666666666,0.10526315789473684,0.09090909090909091,0.75,0.16666666666666666,0.13636363636363638,0.3333333333333333,0.047619047619047616,0.041666666666666664,0.8,0.25,0.19047619047619047,0.75,0.13636363636363635,0.11538461538461538,1.0,0.125,0.1111111111111111,1.0,0.5,0.3333333333333333,0.42857142857142855,0.13636363636363635,0.10344827586206896,0.25,0.1111111111111111,0.07692307692307691,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.5555555555555556,0.2,0.14705882352941177,1.0,0.26666666666666666,0.2105263157894737,0.0,0.0,0,1.0,0.125,0.1111111111111111,1.0,0.16666666666666666,0.14285714285714285,0.5,0.0625,0.05555555555555555,1.0,0.20833333333333334,0.1724137931034483,0.8,0.18181818181818182,0.14814814814814814,1.0,0.17391304347826086,0.14814814814814817,0.4,0.13333333333333333,0.1,1.0,0.16666666666666666,0.14285714285714285,0.7142857142857143,0.15531660692951016,0.12757605495583907
,8,1.0,0.21428571428571427,0.17647058823529413,0.8333333333333334,0.15151515151515152,0.12820512820512822,1.0,0.14285714285714285,0.125,1.0,0.058823529411764705,0.05555555555555555,0.7142857142857143,0.21739130434782608,0.16666666666666666,0.0,0.0,0,0.8571428571428571,0.23076923076923078,0.18181818181818182,0.5555555555555556,0.20833333333333334,0.15151515151515152,0,0.0,0,0.875,0.4117647058823529,0.28,0.75,0.2,0.15789473684210528,1.0,0.08571428571428572,0.07894736842105264,1.0,0.05,0.047619047619047616,1.0,0.05,0.047619047619047616,1.0,0.2857142857142857,0.22222222222222224,0.6666666666666666,0.08695652173913043,0.07692307692307691,0.375,0.2,0.13043478260869568,0.6666666666666666,0.10526315789473684,0.09090909090909091,0.75,0.16666666666666666,0.13636363636363638,0.3333333333333333,0.047619047619047616,0.041666666666666664,0.75,0.1875,0.15,0.75,0.13636363636363635,0.11538461538461538,1.0,0.125,0.1111111111111111,1.0,0.5,0.3333333333333333,0.42857142857142855,0.13636363636363635,0.10344827586206896,0.2727272727272727,0.1111111111111111,0.07894736842105263,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.5555555555555556,0.2,0.14705882352941177,1.0,0.26666666666666666,0.2105263157894737,0.0,0.0,0,1.0,0.125,0.1111111111111111,1.0,0.16666666666666666,0.14285714285714285,0.5,0.0625,0.05555555555555555,1.0,0.16666666666666666,0.14285714285714285,0.8,0.18181818181818182,0.14814814814814814,1.0,0.17391304347826086,0.14814814814814817,0.5,0.13333333333333333,0.10526315789473685,1.0,0.16666666666666666,0.14285714285714285,0.7034883720930233,0.14456391875746716,0.1199207135777998
,9,1.0,0.17857142857142858,0.15151515151515152,0.8333333333333334,0.15151515151515152,0.12820512820512822,1.0,0.14285714285714285,0.125,1.0,0.058823529411764705,0.05555555555555555,0.7142857142857143,0.21739130434782608,0.16666666666666666,0.0,0.0,0,0.8571428571428571,0.23076923076923078,0.18181818181818182,0.42857142857142855,0.125,0.09677419354838708,0,0.0,0,0.8571428571428571,0.35294117647058826,0.25,0.75,0.2,0.15789473684210528,1.0,0.08571428571428572,0.07894736842105264,1.0,0.05,0.047619047619047616,1.0,0.05,0.047619047619047616,1.0,0.2857142857142857,0.22222222222222224,0.6666666666666666,0.08695652173913043,0.07692307692307691,0.375,0.2,0.13043478260869568,0.6666666666666666,0.10526315789473684,0.09090909090909091,0.75,0.16666666666666666,0.13636363636363638,0.3333333333333333,0.047619047619047616,0.041666666666666664,0.75,0.1875,0.15,0.75,0.13636363636363635,0.11538461538461538,0.6666666666666666,0.08333333333333333,0.07407407407407407,1.0,0.4375,0.30434782608695654,0.42857142857142855,0.13636363636363635,0.10344827586206896,0.2727272727272727,0.1111111111111111,0.07894736842105263,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.5555555555555556,0.2,0.14705882352941177,1.0,0.26666666666666666,0.2105263157894737,0.0,0.0,0,1.0,0.125,0.1111111111111111,1.0,0.16666666666666666,0.14285714285714285,0.5,0.0625,0.05555555555555555,1.0,0.16666666666666666,0.14285714285714285,0.8,0.18181818181818182,0.14814814814814814,1.0,0.17391304347826086,0.14814814814814817,0.5,0.13333333333333333,0.10526315789473685,1.0,0.16666666666666666,0.14285714285714285,0.688622754491018,0.13739545997610514,0.1145418326693227

2,,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score,Precison,Recall,Score
